Date,Open,High,Low,Close,Adj Close,Volume2002-02-01,5.050000,5.190000,4.990000,5.190000,4.860484,15800
2002-02-04,5.250000,5.480000,5.250000,5.400000,5.057150,58200
2002-02-05,5.480000,5.490000,5.400000,5.420000,5.075882,36300
2002-02-06,5.320000,5.400000,4.750000,4.900000,4.588897,35600
2002-02-07,4.900000,5.030000,4.860000,5.030000,4.710643,46900
2002-02-08,4.950000,5.100000,4.870000,4.950000,4.635721,12100
2002-02-11,4.890000,4.890000,4.750000,4.770000,4.467149,36100
2002-02-12,4.850000,4.850000,4.830000,4.840000,4.532706,10800
2002-02-13,4.940000,5.000000,4.900000,4.950000,4.635721,15100
2002-02-14,4.950000,4.990000,4.940000,4.990000,4.673182,3700
2002-02-15,4.930000,4.980000,4.640000,4.980000,4.663818,11700
2002-02-19,4.880000,5.050000,4.750000,4.800000,4.495245,23500
2002-02-20,4.810000,5.090000,4.700000,5.080000,4.757467,40600
2002-02-21,5.500000,5.500000,5.010000,5.350000,5.010324,129800
2002-02-22,5.320000,5.320000,4.960000,5.200000,4.869849,36200
2002-02-25,5.250000,5.250000,5.070000,5.250000,4.916674,40700
2002-02-26,5.200000,5.200000,5.050000,5.110000,4.785564,29000
2002-02-27,5.110000,5.110000,4.970000,4.970000,4.654452,17800 